Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Start time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
,3:00 PM,Break,N/A,0.25,Break
,3:15 PM,"Side-by-side Guide for New Hires #8 - Action Learning
Topic: Salesforce",Peer,1.50,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #8 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,4:45 PM,Self-paced catch-up time,Self-paced,1.25,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,Pharma ISS - 1:1 With Management,Leadership,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ISF -Pharma ISS -1:1 With Management item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.00,
,,,,,
Day 10,10:00 AM,ParMed - Pronunciation and Product Spelling Gamification,Cass,1.00,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed - Pronunciation and Product Spelling Gamification item."
June 12th,11:00 AM,Pharma ISS - Role Play,Natalie/Sami,1.00,"Log into the open meeting link in your Outlook calendar. Reference your standard role play rubric you saved earlier in onboarding. After your meeting, in your mySpark curriculum Activate and Mark Complete the Pharma ISS - Role Play item."
,12:00 PM,Lunch ,N/A,1.00,Lunch
,1:00 PM,"Side-by-side Guide for New Hires #9 - Action Learning
Topic: general observation",Peer,2.00,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Side-by-side Guide for New Hires #9 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,3:00 PM,Break,N/A,0.25,Break
,3:15 PM,Self-paced review and pre-call planning,Self-paced,1.00,"Use this time to review your notes and materials and begin pre-call planning, i.e. start outlining greetings, scripts, or probing questions you may like to ask customers as you prepare for solo calls next week. "
,4:15 PM,Pronunciation practice with peers,New hire cohort,1.00,"Log into the open meeting link in your Outlook calendar or connect live if you are in person. As a new hire cohort, informally practice pronunciations. You have no rubric or item to mark complete in mySpark - this session is just for practice. "
,5:15 PM,Self-paced catch-up time,Self-paced,0.75,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,ParMed Debrief Week 2 & Game,Sami,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Debrief Week 2 and Game item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
,,,,,
,,,,,
,,,,,
